date,description,amount,category.name,category.parentName
2022-06-27,AMTRAK .COM XXXXXXXXXX,-114.0,Travel,Root
2022-06-27,TST* Dock at Montrose Bea,-71.71,Restaurants,Food & Dining
2022-06-25,VENTRA VENDING 13412,-3.0,Public Transportation,Auto & Transport
2022-06-25,FOREMOST LIQUORS,-23.58,Alcohol & Bars,Food & Dining
2022-06-24,VENTRA ACCOUNT,-2.5,Public Transportation,Auto & Transport
2022-06-20,FOREMOST LIQUORS,-20.85,Alcohol & Bars,Food & Dining
2022-06-17,MARIANOS #522,-20.63,Groceries,Food & Dining
2022-06-15,FOXRENTACAR XXXXXXXXXX,-168.96,Rental Car & Taxi,Travel
2022-06-13,SQ *COFFEE ON THE ROCKS O,-17.97,Coffee Shops,Food & Dining
2022-06-13,TST* Claires Restaurant,-73.36,Restaurants,Food & Dining
2022-06-10,HIGH COUNTRY BREWERY,-5.0,Alcohol & Bars,Food & Dining
2022-06-10,HIGH COUNTRY BREWERY,-54.35,Alcohol & Bars,Food & Dining
2022-06-09,LONIGANS SALOON & GRILL,-50.18,Restaurants,Food & Dining
2022-06-09,UBER   TRIP,-74.99,Ride Share,Auto & Transport
2022-06-09,UBER   TRIP,-26.99,Ride Share,Auto & Transport
2022-06-08,UBER   TRIP,-54.93,Ride Share,Auto & Transport
2022-06-08,POKEWORKS HARVARD SQUARE,-5.35,Restaurants,Food & Dining
2022-06-08,COURTYARD BY MARRIOTT,-3.0,Hotel,Travel
2022-06-07,UBER   TRIP,-5.25,Ride Share,Auto & Transport
2022-06-07,PRAIRIE TAP BAR ORD,-35.94,Alcohol & Bars,Food & Dining
2022-06-07,TOM-Nu Burger,-18.19,Fast Food,Food & Dining
2022-06-07,UBER   TRIP,-31.9,Ride Share,Auto & Transport
2022-06-06,UBER   TRIP,-39.43,Ride Share,Auto & Transport
2022-06-04,More chum,-167.76,Charity,Gifts & Donations
2022-05-31,BP#9265216K & J FOODS,-50.25,Gas & Fuel,Auto & Transport
2022-05-30,SURF SIDE BAR & GRILL,-91.12,Restaurants,Food & Dining
2022-05-29,Wedding tips,-20.0,Gift,Gifts & Donations
2022-05-28,OUR AMERICAN KITCHEN,-16.84,Restaurants,Food & Dining
2022-05-27,CHIPOTLE ONLINE,-9.18,Fast Food,Food & Dining
2022-05-25,Brunch - parking,-40.0,Parking,Auto & Transport
2022-05-23,TST* OLD CROW WRIGLEYVILL,-43.69,Restaurants,Food & Dining
2022-05-22,Brunch,-85.0,Restaurants,Food & Dining
2022-05-21,Hiroshima,-35.0,Restaurants,Food & Dining
2022-05-20,TARGET        00023739,-84.28,Shopping,Root
2022-05-20,ALDI 40003,-141.64,Groceries,Food & Dining
2022-05-16,TST* DOCK AT MONTROSE BEA,-69.11,Restaurants,Food & Dining
2022-05-14,Coors,-22.0,Clothing,Shopping
2022-05-12,MARIANOS #522,-25.52,Groceries,Food & Dining
2022-05-09,KIRKWOOD BAR + GRILL,-27.26,Restaurants,Food & Dining
2022-05-09,TST* Cubby Bear Lounge,-9.86,Alcohol & Bars,Food & Dining
2022-05-08,Beer,-7.0,Alcohol & Bars,Food & Dining
2022-05-03,RECREATION.GOV,-2.0,Travel,Root
2022-05-03,RECREATION.GOV,-10.0,Travel,Root
2022-05-03,RECREATION.GOV,-8.0,Travel,Root
2022-05-02,TARGET 00032219,-42.99,Shopping,Root
2022-05-02,RECREATION.GOV,-35.0,Travel,Root
2022-05-02,FAT CAT RESTAURANT,-85.42,Restaurants,Food & Dining
2022-05-01,your birthday present :p,60.63,Income,Root
2022-05-01,Spending through May 1,-58.61,Transfer,Root
2022-04-27,Dinner,-31.0,Restaurants,Food & Dining
2022-04-26,TARGET        00023739,-35.45,Shopping,Root
2022-04-25,MARIANOS #522,-57.96,Groceries,Food & Dining
2022-04-25,WALGREENS #3698,-1.12,Pharmacy,Health & Fitness
2022-04-22,MARIANOS #522,-18.51,Groceries,Food & Dining
2022-04-22,FOREMOST LIQUORS,-23.58,Alcohol & Bars,Food & Dining
2022-04-17,Drinks and snacks,30.0,Restaurants,Food & Dining
2022-04-17,Drinks + food,30.0,Income,Root
2022-04-14,FOREMOST LIQUORS,-42.75,Alcohol & Bars,Food & Dining
2022-04-11,April 1-10 spending,116.96,Income,Root
2022-04-11,SLAINTE,-29.24,Restaurants,Food & Dining
2022-04-11,CKE*FOREST PARK TAP ROOM,-26.8,Alcohol & Bars,Food & Dining
